run_id,date,learning_rate,num_leaves,max_depth,n_estimators,min_child_samples,roc_auc,precision,recall,f1_score,top_shap_feature
1,2026-01-19,0.1,15,-1,300,20,0.7789,0.6773,0.6515,0.6641,annual_income
2,2026-06-23,0.05,15,-1,100,20,0.7993,0.7072,0.68,0.6933,credit_age_months
3,2026-04-11,0.08,127,4,500,30,0.8524,0.8019,0.716,0.7565,credit_age_months
4,2026-03-26,0.03,31,4,300,10,0.8137,0.7569,0.6744,0.7133,annual_income
5,2026-05-07,0.01,127,10,100,50,0.8032,0.7327,0.6792,0.7049,payment_history_score
6,2026-03-15,0.1,15,-1,200,30,0.7894,0.6795,0.6487,0.6637,num_delinquent_accounts
7,2026-01-20,0.1,63,4,300,30,0.8284,0.7597,0.6828,0.7192,credit_age_months
8,2026-05-08,0.1,31,10,200,20,0.7685,0.6996,0.6237,0.6595,credit_age_months
9,2026-06-11,0.1,63,-1,200,10,0.8322,0.7541,0.7476,0.7508,annual_income
10,2026-06-19,0.02,127,8,500,20,0.8306,0.7633,0.7113,0.7364,payment_history_score
11,2026-02-21,0.05,127,6,200,20,0.8604,0.804,0.7771,0.7903,debt_to_income_ratio
12,2026-01-22,0.02,127,10,100,50,0.8153,0.6956,0.6983,0.6969,annual_income
13,2026-06-09,0.1,15,10,300,30,0.7745,0.6941,0.6627,0.678,credit_age_months
14,2026-02-18,0.08,31,10,100,30,0.7837,0.6982,0.6898,0.694,payment_history_score
15,2026-02-02,0.08,15,10,300,50,0.7708,0.6558,0.6293,0.6423,payment_history_score
16,2026-04-18,0.02,15,-1,500,10,0.8091,0.7218,0.7203,0.721,credit_age_months
17,2026-02-23,0.02,63,10,800,50,0.8586,0.7436,0.7257,0.7345,credit_age_months
18,2026-05-08,0.03,127,6,500,50,0.8648,0.7991,0.7611,0.7796,annual_income
19,2026-05-08,0.08,31,-1,100,10,0.7592,0.6458,0.619,0.6321,debt_to_income_ratio
20,2026-04-26,0.03,127,4,800,20,0.8889,0.7771,0.7686,0.7728,credit_utilization
21,2026-06-21,0.05,31,-1,100,50,0.8042,0.7254,0.6637,0.6932,debt_to_income_ratio
22,2026-04-05,0.1,15,-1,500,30,0.802,0.7444,0.7086,0.7261,annual_income
23,2026-01-02,0.05,31,6,500,20,0.845,0.7897,0.7084,0.7468,annual_income
24,2026-02-13,0.1,15,-1,200,20,0.7663,0.6826,0.6258,0.653,debt_to_income_ratio
